trap_id,start_date,end_date,ntrapped
AP004,2016-03-29,2016-04-26,0
AP005,2016-03-29,2016-04-26,5
AP001,2016-03-29,2016-04-18,0
AP002,2016-03-29,2016-04-18,0
AP003,2016-03-29,2016-04-18,0
AP006,2016-03-29,2016-04-18,1
AP007,2016-03-29,2016-04-18,0
AP008,2016-03-29,2016-04-18,0
AP009,2016-03-29,2016-04-18,2
AP010,2016-03-29,2016-04-18,0
AP011,2016-03-29,2016-04-18,0
AP012,2016-03-29,2016-04-18,0
AP013,2016-03-29,2016-04-18,0
AP014,2016-03-29,2016-04-18,1
AP015,2016-03-29,2016-04-18,2
AP016,2016-03-29,2016-04-18,0
AP017,2016-03-29,2016-04-18,0
AP018,2016-03-29,2016-04-18,0
AP019,2016-03-29,2016-04-18,0
AP020,2016-03-29,2016-04-18,0
AP021,2016-03-29,2016-04-18,0
AP022,2016-03-29,2016-04-18,0
AP023,2016-03-29,2016-04-18,1
AP024,2016-03-29,2016-04-18,0
AP025,2016-03-29,2016-04-18,0
AP026,2016-03-29,2016-04-18,0
AP027,2016-03-29,2016-04-18,0
AP028,2016-03-29,2016-04-18,2
AP029,2016-03-29,2016-04-18,0
AP030,2016-03-29,2016-04-18,0
AP031,2016-03-29,2016-04-18,0
AP032,2016-03-29,2016-04-18,0
AP033,2016-03-29,2016-04-18,0
AP034,2016-03-29,2016-04-18,10
AP035,2016-03-29,2016-04-18,0
AP036,2016-03-29,2016-04-18,0
AP037,2016-03-29,2016-04-18,1
AP038,2016-03-29,2016-04-18,0
AP039,2016-03-29,2016-04-18,0
AP040,2016-03-29,2016-04-18,0
AP041,2016-03-29,2016-04-18,0
AP042,2016-03-29,2016-04-18,0
AP043,2016-03-29,2016-04-18,0
AP044,2016-03-29,2016-04-18,0
AP045,2016-03-29,2016-04-18,0
AP046,2016-03-29,2016-04-18,2
AP047,2016-03-29,2016-04-18,0
AP048,2016-03-29,2016-04-18,0
AP049,2016-03-29,2016-04-18,0
AP050,2016-03-29,2016-04-18,0
AP051,2016-03-29,2016-04-18,2
AP052,2016-03-29,2016-04-18,0
AP053,2016-03-29,2016-04-18,0
AP054,2016-03-29,2016-04-18,0
AP055,2016-03-29,2016-04-18,0
AP056,2016-03-29,2016-04-18,0
AP057,2016-03-29,2016-04-18,0
AP058,2016-03-29,2016-04-18,0
AP059,2016-03-29,2016-04-18,0
AP060,2016-03-29,2016-04-18,0
AP061,2016-03-29,2016-04-18,0
AP062,2016-03-29,2016-04-18,0
AP063,2016-03-29,2016-04-18,0
AP064,2016-03-29,2016-04-18,0
AP065,2016-03-29,2016-04-18,0
AP066,2016-03-29,2016-04-18,0
AP067,2016-03-29,2016-04-18,0
AP068,2016-03-29,2016-04-18,0
