trap_id,start_date,end_date,ntrapped
PA001,2016-03-30,2016-04-16,0
PA002,2016-03-30,2016-04-16,0
PA003,2016-03-30,2016-04-16,1
PA004,2016-03-30,2016-04-16,1
PA005,2016-03-30,2016-04-16,0
PA006,2016-03-30,2016-04-16,0
PA007,2016-03-30,2016-04-16,0
PA008,2016-03-30,2016-04-16,0
PA009,2016-03-30,2016-04-16,0
PA010,2016-03-30,2016-04-16,0
PA011,2016-03-30,2016-04-16,0
PA012,2016-03-30,2016-04-16,5
PA013,2016-03-30,2016-04-16,0
PA014,2016-03-30,2016-04-16,1
PA015,2016-03-30,2016-04-16,0
PA016,2016-03-30,2016-04-16,2
PA017,2016-03-30,2016-04-16,0
PA018,2016-03-30,2016-04-16,0
PA019,2016-03-30,2016-04-16,0
PA020,2016-03-30,2016-04-16,1
PA021,2016-03-30,2016-04-16,0
PA022,2016-03-30,2016-04-16,0
PA023,2016-03-30,2016-04-16,0
PA024,2016-03-30,2016-04-16,1
PA025,2016-03-30,2016-04-16,0
PA026,2016-03-30,2016-04-16,0
PA027,2016-03-30,2016-04-16,5
PA028,2016-03-30,2016-04-16,1
PA029,2016-03-30,2016-04-16,0
PA030,2016-03-30,2016-04-16,0
PA031,2016-03-30,2016-04-16,0
PA032,2016-03-30,2016-04-16,0
PA033,2016-03-30,2016-04-16,0
PA034,2016-03-30,2016-04-16,0
PA035,2016-03-30,2016-04-16,1
PA001,2016-03-16,2016-03-30,0
PA002,2016-03-16,2016-03-30,2
PA003,2016-03-16,2016-03-30,3
PA004,2016-03-16,2016-03-30,2
PA005,2016-03-16,2016-03-30,0
PA006,2016-03-16,2016-03-30,0
PA007,2016-03-16,2016-03-30,0
PA008,2016-03-16,2016-03-30,0
PA009,2016-03-16,2016-03-30,0
PA010,2016-03-16,2016-03-30,0
PA011,2016-03-16,2016-03-30,0
PA012,2016-03-16,2016-03-30,2
PA013,2016-03-16,2016-03-30,0
PA014,2016-03-16,2016-03-30,3
PA015,2016-03-16,2016-03-30,1
PA016,2016-03-16,2016-03-30,1
PA017,2016-03-16,2016-03-30,0
PA018,2016-03-16,2016-03-30,0
PA019,2016-03-16,2016-03-30,0
PA020,2016-03-16,2016-03-30,4
PA021,2016-03-16,2016-03-30,0
PA022,2016-03-16,2016-03-30,0
PA023,2016-03-16,2016-03-30,0
PA024,2016-03-16,2016-03-30,0
PA025,2016-03-16,2016-03-30,0
PA026,2016-03-16,2016-03-30,0
PA027,2016-03-16,2016-03-30,2
PA028,2016-03-16,2016-03-30,0
PA029,2016-03-16,2016-03-30,0
PA030,2016-03-16,2016-03-30,0
PA031,2016-03-16,2016-03-30,0
PA032,2016-03-16,2016-03-30,0
PA033,2016-03-16,2016-03-30,0
PA034,2016-03-16,2016-03-30,0
PA035,2016-03-16,2016-03-30,0
