trap_id,latitude,longitude,date_deployed,date_removed
PA001,13.47102,144.70625,2015-04-03,
PA002,13.46837,144.70296,2015-04-03,
PA003,13.46811,144.70183,2015-04-03,
PA004,13.46763,144.70003,2015-04-03,
PA005,13.46728,144.69884,2015-04-03,
PA006,13.46666,144.69759,2015-04-03,
PA007,13.46568,144.69469,2015-04-03,
PA008,13.46451,144.69313,2015-04-03,
PA009,13.46357,144.69199,2015-04-03,
PA010,13.46102,144.69016,2015-04-03,
PA011,13.45986,144.68977,2015-04-03,
PA012,13.45775,144.68895,2015-04-03,
PA013,13.4565,144.68842,2015-04-03,
PA014,13.4546,144.6877,2015-04-03,
PA015,13.45341,144.68716,2015-04-03,
PA016,13.44614,144.68369,2015-04-03,
PA017,13.44433,144.68266,2015-04-03,
PA018,13.44182,144.68141,2015-04-03,
PA019,13.44738,144.68463,2015-04-03,
PA020,13.44914,144.68542,2015-04-03,
PA021,13.43834,144.67969,2015-04-08,
PA022,13.43684,144.67894,2015-04-08,
PA023,13.43453,144.67796,2015-04-08,
PA024,13.43211,144.67786,2015-04-08,
PA025,13.42954,144.67828,2015-04-08,
PA026,13.42724,144.67842,,
PA027,13.42517,144.67815,2015-04-08,
PA028,13.4234,144.6768,2015-04-08,
PA029,13.40829,144.673,2015-04-08,
PA030,13.40718,144.67078,2015-04-08,
PA031,13.40387,144.66548,2015-04-08,
PA032,13.40541,144.66866,2015-04-08,
PA033,13.46948,144.67473,2015-04-08,
PA034,13.41458,144.67728,2015-04-08,
PA035,13.41669,144.67859,2015-04-08,
PA036,13.42042,144.6769,2015-04-08,
