"x","y"
"270069.656252","1509816.12499"
"270074.156256","1509812.5"
"270082.31249","1509806.125"
"270090.468748","1509799.87501"
"270098.625006","1509793.5"
"270106.78124","1509787.12499"
"270114.937498","1509780.75001"
"270122.187497","1509773.50001"
"270131.249991","1509769.00001"
"270140.281241","1509763.62499"
"270149.343757","1509758.99999"
"270159.312509","1509756.37499"
"270168.375002","1509750.00001"
"270173.812507","1509741.0"
"270180.156248","1509732.74999"
"270191.031258","1509732.74999"
"270201.875002","1509732.74999"
"270216.375001","1509727.37499"
"270225.437494","1509721.875"
"270235.406246","1509718.24999"
"270247.187491","1509712.875"
"270257.125","1509710.99999"
"270266.187493","1509706.50001"
"270271.624998","1509697.5"
"270280.687492","1509691.99999"
"270287.937491","1509684.74999"
"270297.000007","1509679.37499"
"270305.156242","1509673.00001"
"270314.187492","1509668.50001"
"270324.156244","1509665.75001"
"270329.593749","1509656.75"
"270338.656242","1509652.12501"
"270348.624994","1509648.49999"
"270357.68751","1509643.99999"
"270365.843745","1509636.74999"
"270375.781254","1509631.375"
"270386.656241","1509630.5"
"270395.718757","1509625.875"
"270399.343745","1509616.00001"
"270407.500003","1509609.625"
"270417.468755","1509608.75001"
"270421.093743","1509598.75001"
"270428.343742","1509591.49999"
"270431.93751","1509586.0"
"270435.562498","1509580.625"
"270445.53125","1509577.87501"
"270454.593743","1509572.50001"
"270466.374989","1509569.74999"
"270476.343741","1509567.0"
"270481.781246","1509558.00001"
"270489.031245","1509550.74999"
"270498.062495","1509546.25001"
"270508.031247","1509544.37501"
"270516.187505","1509538.0"
"270521.62501","1509528.99999"
"270526.156256","1509519.87499"
"270533.406255","1509512.75001"
"270541.56249","1509506.375"
"270545.187501","1509496.37501"
"270550.625006","1509484.625"
"270560.562492","1509481.87501"
"270570.531244","1509478.25"
"270580.499996","1509474.62501"
"270584.125007","1509464.62499"
"270586.843759","1509454.74999"
"270594.999994","1509448.37501"
"270604.06251","1509439.375"
"270613.999996","1509434.75"
"270623.968748","1509432.125"
"270632.125005","1509424.875"
"270636.656252","1509415.75"
"270641.187499","1509406.74999"
"270645.718745","1509396.75"
"270654.781238","1509392.25"
"270664.74999","1509391.375"
"270673.78124","1509386.75"
"270680.125004","1509378.62499"
"270683.749992","1509368.62499"
"270690.093756","1509360.5"
"270700.062508","1509356.87499"
"270707.312507","1509348.75"
"270708.218742","1509339.625"
"270714.562506","1509330.62499"
"270721.812505","1509323.37499"
"270729.062504","1509316.12499"
"270736.28126","1509308.87499"
"270743.53126","1509301.62499"
"270749.875","1509292.62501"
"270756.218741","1509284.375"
"270764.374999","1509277.125"
"270770.718739","1509269.00001"
"270777.968738","1509261.75001"
"270784.312502","1509253.625"
"270791.531258","1509246.375"
"270798.781257","1509239.125"
"270803.312504","1509230.12499"
"270810.562503","1509222.87499"
"270816.000008","1509213.75001"
"270822.343749","1509205.625"
"270829.593748","1509198.375"
"270836.843747","1509190.25001"
"270843.187511","1509182.12499"
"270849.500009","1509173.875"
"270856.750008","1509166.625"
"270863.093749","1509158.49999"
"270868.531254","1509149.50001"
"270875.781253","1509142.25001"
"270881.218758","1509133.125"
"270887.562499","1509124.125"
"270893.906239","1509116.00001"
"270899.343744","1509106.875"
"270908.406261","1509102.375"
"270915.624994","1509095.125"
"270921.968758","1509087.00001"
"270928.312498","1509078.87499"
"270932.843745","1509069.74999"
"270939.187508","1509061.625"
"270945.531249","1509053.50001"
"270950.968754","1509044.37501"
"270955.500001","1509035.375"
"270961.843742","1509027.25001"
"270968.156239","1509019.0"
"270975.406261","1509011.75"
"270981.750002","1509003.62501"
"270989.90626","1508997.25"
"270991.718754","1508987.375"
"270992.624989","1508980.99999"
"270996.25","1508976.49999"
"271003.5","1508969.24999"
"271008.937505","1508960.12501"
"271015.281245","1508951.125"
"271021.625009","1508942.99999"
"271027.062491","1508933.87501"
"271030.656259","1508923.87499"
"271035.187506","1508914.87501"
"271042.437505","1508907.62501"
"271049.687504","1508899.5"
"271055.125009","1508890.37499"
"271061.46875","1508882.25"
"271066.906255","1508873.24999"
"271074.156254","1508865.00001"
"271079.593759","1508856.0"
"271085.031242","1508846.99999"
"271089.531245","1508837.87499"
"271094.062492","1508828.87501"
"271102.218749","1508822.5"
"271106.749996","1508810.75"
"271111.281243","1508801.62499"
"271116.718748","1508792.62501"
"271121.249994","1508783.50001"
"271126.6875","1508774.5"
"271133.03124","1508766.37501"
"271139.375004","1508758.125"
"271147.499995","1508747.25001"
"271154.749995","1508739.99999"
"271161.999994","1508732.87501"
"271168.343758","1508724.625"
"271175.593757","1508716.50001"
"271181.031239","1508707.5"
"271187.375003","1508699.24999"
"271193.718743","1508691.125"
"271200.062507","1508682.12499"
"271207.28124","1508674.87499"
"271214.531239","1508667.62499"
"271219.968744","1508658.49999"
"271227.218743","1508648.62499"
"271233.562507","1508640.375"
"271238.999989","1508631.375"
"271246.249988","1508624.125"
"271251.687494","1508615.12499"
"271258.031257","1508606.875"
"271263.468739","1508597.875"
"271269.78126","1508589.75001"
"271276.125001","1508581.5"
"271282.468741","1508573.375"
"271288.812505","1508565.24999"
"271293.343752","1508556.25001"
"271297.874998","1508547.125"
"271304.218739","1508539.00001"
"271308.750009","1508529.87501"
"271316.906243","1508519.0"
"271322.343748","1508509.99999"
"271326.843752","1508500.0"
"271333.187493","1508490.125"
"271339.531256","1508481.87501"
"271344.968738","1508472.875"
"271351.312502","1508464.75001"
"271357.656243","1508454.74999"
"271364.906242","1508447.49999"
"271371.250006","1508439.375"
"271378.500005","1508432.125"
"271383.93751","1508423.0"
"271392.062502","1508416.74999"
"271398.406242","1508408.5"
"271399.312501","1508402.24999"
"271402.937489","1508399.5"
"271410.187511","1508392.25"
"271418.343746","1508385.87499"
"271425.593745","1508375.99999"
"271431.937509","1508366.87501"
"271438.281249","1508358.75"
"271444.62499","1508350.625"
"271450.031252","1508341.5"
"271458.18751","1508335.125"
"271464.53125","1508327.0"
"271470.874991","1508318.87499"
"271474.500002","1508308.87499"
"271477.218755","1508299.0"
"271481.750001","1508289.87499"
"271485.374989","1508279.875"
"271492.624989","1508272.625"
"271498.968752","1508264.50001"
"271504.406257","1508255.5"
"271511.62499","1508246.375"
"271518.87499","1508238.25001"
"271525.218753","1508229.25"
"271533.375011","1508222.87499"
"271539.718752","1508213.74999"
"271543.34374","1508203.87499"
"271549.687504","1508195.75"
"271553.312492","1508185.75"
"271559.656255","1508176.625"
"271564.187502","1508167.62499"
"271571.406258","1508160.37499"
"271577.749999","1508152.25"
"271584.093739","1508143.99999"
"271589.531244","1508135.00001"
"271594.062491","1508126.0"
"271600.406255","1508115.12499"
"271605.84376","1508105.99999"
"271612.187501","1508097.875"
"271617.625006","1508088.75"
"271623.968746","1508079.75001"
"271628.46875","1508070.75"
"271633.906255","1508061.625"
"271639.34376","1508050.74999"
"271642.968748","1508040.75"
"271644.781242","1508030.875"
"271650.218747","1508021.74999"
"271656.562511","1508013.625"
"271661.093758","1508004.625"
