trap_id,start_date,end_date,ntrapped
X0125,2015-07-28,2015-12-31,2
x0657,2015-07-29,2015-12-31,0
x1468,2015-07-13,2015-12-31,0
X0524,2015-07-14,2015-12-31,0
X0060,2015-01-21,2015-12-31,0
x0724,2015-01-21,2015-12-31,0
x0186,2015-05-30,2015-12-31,0
x9993,2015-07-28,2015-12-31,11
x0965T,2015-07-14,2015-12-31,2
x0573,2015-07-29,2015-12-31,0
x9994,2015-07-28,2015-12-31,0
X0533,2015-01-21,2015-12-31,0
x1858,2015-07-13,2015-12-31,0
X0184,2015-07-28,2015-12-31,0
X0080,2015-07-14,2015-12-31,0
X0056,2015-01-21,2015-12-31,0
x0117,2015-07-10,2015-12-31,3
X0098,2015-07-29,2015-12-31,0
x1467,2015-07-28,2015-12-31,0
x9992,2015-07-28,2015-12-31,0
x1452,2015-07-13,2015-12-31,0
X0002M,2015-07-10,2015-12-31,0
X0860,2015-01-21,2015-12-31,0
x1426a,2015-07-28,2015-12-31,0
x0001M,2015-07-10,2015-12-31,0
X1411,2015-07-10,2015-12-31,0
x1748,2015-07-28,2015-12-31,7
x9995,2015-01-08,2015-12-31,1
X0961,2015-01-21,2015-12-31,0
x1759,2015-07-29,2015-12-31,0
x0657,2015-07-14,2015-07-29,0
x1971,2015-07-13,2015-07-29,0
x1979,2015-07-13,2015-07-29,0
X0885,2015-07-14,2015-07-29,0
x1973,2015-07-13,2015-07-29,0
X0644,2015-07-14,2015-07-29,0
x1981,2015-07-13,2015-07-29,0
x1978a,2015-07-13,2015-07-29,0
x1976,2015-07-13,2015-07-29,0
x1980,2015-07-13,2015-07-29,0
x1709A,2015-07-10,2015-07-29,0
x1982,2015-07-13,2015-07-29,0
x0100,2015-07-14,2015-07-29,0
X1194a,2015-07-15,2015-07-29,0
X1200,2015-07-15,2015-07-29,0
x1200B,2015-07-14,2015-07-29,0
x1998,2015-07-10,2015-07-29,3
x0757,2015-07-14,2015-07-29,0
x1996,2015-07-10,2015-07-29,0
X1291,2015-07-14,2015-07-29,0
x0176F,2015-07-10,2015-07-29,5
x0746,2015-07-14,2015-07-29,0
X1311,2015-07-15,2015-07-29,0
X0237,2015-07-14,2015-07-29,0
x1983,2015-07-13,2015-07-29,0
X0099,2015-07-15,2015-07-29,0
X0098,2015-07-15,2015-07-29,0
X1319,2015-07-15,2015-07-29,0
X0238,2015-07-14,2015-07-29,0
X0096,2015-07-15,2015-07-29,0
X0245,2015-07-14,2015-07-29,0
x1969,2015-07-13,2015-07-29,0
X1366,2015-07-14,2015-07-29,0
x1686B,2015-07-10,2015-07-29,0
x1984a,2015-07-13,2015-07-29,0
x1970,2015-07-13,2015-07-29,0
x1962,2015-07-13,2015-07-29,0
x1968a,2015-07-13,2015-07-29,0
x1967a,2015-07-13,2015-07-29,0
X0355,2015-07-14,2015-07-29,0
X1907,2015-07-14,2015-07-29,0
T0054,2015-07-10,2015-07-29,0
X1532,2015-07-15,2015-07-29,0
T0067D,2015-07-10,2015-07-29,0
T0068D,2015-07-10,2015-07-29,0
X0157,2015-07-14,2015-07-29,0
T0070,2015-07-10,2015-07-29,0
T0089,2015-07-10,2015-07-29,0
X0131,2015-07-14,2015-07-29,0
X1561,2015-07-10,2015-07-29,4
T0109,2015-07-14,2015-07-29,0
X0001,2015-07-14,2015-07-29,0
Uber Trap,2015-07-14,2015-07-29,0
X1584,2015-07-10,2015-07-29,1
x1759,2015-07-14,2015-07-29,4
T0147,2015-07-10,2015-07-29,0
X1604,2015-07-10,2015-07-29,0
T0129,2015-07-15,2015-07-29,0
X1605,2015-07-10,2015-07-29,1
T0130,2015-07-15,2015-07-29,0
X1640,2015-07-10,2015-07-29,0
X0351,2015-07-14,2015-07-29,0
T0045,2015-07-10,2015-07-29,0
x0573,2015-07-14,2015-07-29,0
X0620,2015-07-15,2015-07-29,0
x1966,2015-07-13,2015-07-29,0
x1965,2015-07-13,2015-07-29,0
x1963,2015-07-13,2015-07-29,0
X0265,2015-07-14,2015-07-29,0
X1147,2015-07-14,2015-07-29,0
x1961a,2015-07-13,2015-07-29,0
X1960A,2015-07-13,2015-07-29,0
x1959,2015-07-14,2015-07-29,0
X0291,2015-07-14,2015-07-29,0
X0129,2015-07-14,2015-07-29,0
X0927,2015-07-14,2015-07-29,0
X1665,2015-07-10,2015-07-29,0
X1721,2015-07-10,2015-07-29,0
x1657,2015-07-10,2015-07-29,0
T0012B,2015-07-10,2015-07-29,0
T0021M,2015-07-10,2015-07-29,0
X1509,2015-07-15,2015-07-29,0
T0031,2015-07-10,2015-07-29,0
x1643A,2015-07-10,2015-07-29,1
X1162,2015-07-14,2015-07-29,0
x1977a,2015-07-13,2015-07-29,0
X0209,2015-07-14,2015-07-29,0
X0215,2015-07-14,2015-07-29,0
X1097,2015-07-14,2015-07-29,4
X0224,2015-07-10,2015-07-29,0
X0231,2015-07-10,2015-07-29,0
X0123,2015-07-15,2015-07-29,0
X0115,2015-07-15,2015-07-29,0
X1701,2015-07-10,2015-07-29,0
X815TR,2015-07-10,2015-07-29,0
X0821,2015-07-14,2015-07-29,0
X0184,2015-07-13,2015-07-28,0
X1682,2015-07-13,2015-07-28,0
x0808,2015-07-13,2015-07-28,0
x1654,2015-07-14,2015-07-28,0
T0111,2015-07-13,2015-07-28,1
x9994,2015-07-13,2015-07-28,2
T0108Y,2015-07-13,2015-07-28,0
x1984Y,2015-07-13,2015-07-28,0
x1620,2015-07-13,2015-07-28,0
x0005T,2015-07-15,2015-07-28,8
x1635,2015-07-13,2015-07-28,0
x1983Y,2015-07-13,2015-07-28,2
T0015Y,2015-07-13,2015-07-28,0
X0125,2015-07-13,2015-07-28,0
x9992,2015-07-13,2015-07-28,0
x1426a,2015-07-13,2015-07-28,0
T0006a,2015-07-15,2015-07-28,0
T0091t,2015-07-15,2015-07-28,0
X0815PB,2015-07-13,2015-07-28,0
x0102B,2015-07-27,2015-07-28,0
x1986B,2015-07-27,2015-07-28,0
x9993,2015-07-13,2015-07-28,1
x001Y,2015-07-27,2015-07-28,0
x1781,2015-07-14,2015-07-28,0
x1788,2015-07-14,2015-07-28,0
x0383,2015-07-13,2015-07-28,0
x1748,2015-07-13,2015-07-28,1
T0055Y,2015-07-13,2015-07-28,1
T0116,2015-07-13,2015-07-28,0
x1682WH,2015-07-13,2015-07-28,0
x1467,2015-07-13,2015-07-28,0
x0789,2015-07-10,2015-07-27,0
x1941,2015-07-10,2015-07-27,4
x1940,2015-07-13,2015-07-27,2
x0502M,2015-07-10,2015-07-27,0
x1925,2015-07-10,2015-07-27,0
x2008,2015-07-13,2015-07-27,0
x001Y,2015-07-13,2015-07-27,0
x0831,2015-07-10,2015-07-27,0
x0503M,2015-07-10,2015-07-27,0
x0790,2015-07-13,2015-07-27,0
T0068a,2015-07-14,2015-07-27,2
