trap_id,latitude,longitude
0002MAN,13.45348,144.79247
1480,13.406813,144.663096
1735,13.407382,144.663072
1763,13.409104,144.665649
1780,13.40781,144.663063
1806,13.408991,144.663185
AP001,13.47741,144.80824
AP002,13.47697,144.80733
AP003,13.47631,144.80618
AP004,13.47532,144.80405
AP005,13.47489,144.80273
AP006,13.47436,144.80164
AP007,13.47332,144.80167
AP008,13.47198,144.80156
AP009,13.47046,144.80113
AP010,13.47067,144.79985
AP011,13.4711,144.79868
AP012,13.47156,144.79745
AP013,13.47205,144.79646
AP014,13.4725,144.79501
AP015,13.47394,144.78889
AP016,13.49171,144.797759
AP017,13.49141,144.79807
AP018,13.49241,144.8011
AP019,13.50044,144.8187
AP020,13.49982,144.8197
AP021,13.49791,144.81987
AP022,13.49315,144.82146
AP023,13.49214,144.81905
AP024,13.49061,144.82056
AP025,13.48542,144.819
AP026,13.48466,144.81847
AP027,13.48408,144.81647
AP028,13.49454,144.80481
AP029,13.49505,144.80579
AP030,13.49522,144.80626
AP031,13.49554,144.80699
AP032,13.49567,144.80737
AP033,13.48338,144.81345
AP034,13.48285,144.81287
AP035,13.48225,144.81241
AP036,13.48115,144.81169
AP037,13.48027,144.81113
AP038,13.49806,144.81282
AP039,13.4988,144.81334
AP040,13.49953,144.81396
AP041,13.50014,144.81493
AP042,13.50075,144.81618
AP043,13.48977,144.79726
AP044,13.48948,144.79593
AP045,13.48891,144.79442
AP046,13.48782,144.79346
AP047,13.48739,144.79239
AP048,13.48695,144.79155
AP049,13.48655,144.79085
AP050,13.48572,144.7899
AP051,13.48494,144.78819
AP052,13.48461,144.78769
AP053,13.48413,144.78603
AP054,13.48366,144.78499
AP055,13.48322,144.78409
AP056,13.48273,144.78296
AP057,13.48114,144.78041
AP058,13.48023,144.77733
AP059,13.47493,144.78256
AP060,13.47441,144.78683
AP061,13.47926,144.81049
AP062,13.47947,144.80933
AP063,13.47893,144.80814
AP064,13.47324,144.79347
AP065,13.47336,144.79248
AP066,13.47347,144.79021
AP067,13.47844,144.77676
AP068,13.47795,144.77724
AP069,13.47464,144.7804
AP070,13.49593,144.80794
AP071,13.49425,144.8042
AP071a,13.49425,144.8042
AP072,13.49385,144.80342
AP072a,13.49385,144.80342
AP073,13.49346,144.8026
AP074,13.49723,144.81227
AP075,13.49692,144.81165
AP076,13.49741,144.82065
AP077,13.48405,144.81497
N0080,13.442144,144.64412
N0185,13.442144,144.64333
N1697,13.443187,144.64952
N1909,13.442681,144.64862
N9999,13.441635,144.64114
PA001,13.47102,144.70625
PA002,13.46837,144.70296
PA003,13.46811,144.70183
PA004,13.46763,144.70003
PA005,13.46728,144.69884
PA006,13.46666,144.69759
PA007,13.46568,144.69469
PA008,13.46451,144.69313
PA009,13.46357,144.69199
PA010,13.46102,144.69016
PA011,13.45986,144.68977
PA012,13.45775,144.68895
PA013,13.4565,144.68842
PA014,13.4546,144.6877
PA015,13.45341,144.68716
PA016,13.44614,144.68369
PA017,13.44433,144.68266
PA018,13.44182,144.68141
PA019,13.44738,144.68463
PA020,13.44914,144.68542
PA021,13.43834,144.67969
PA022,13.43684,144.67894
PA023,13.43453,144.67796
PA024,13.43211,144.67786
PA025,13.42954,144.67828
PA026,13.42724,144.67842
PA027,13.42517,144.67815
PA028,13.4234,144.6768
PA029,13.40829,144.673
PA030,13.40718,144.67078
PA031,13.40387,144.66548
PA032,13.40541,144.66866
PA033,13.46948,144.67473
PA034,13.41458,144.67728
PA035,13.41669,144.67859
PA036,13.42042,144.6769
PIC01,13.50195,144.79228
PIC02,13.5023,144.79308
PIC03,13.50267,144.79397
PIC04,13.50279,144.79429
PIC05,13.50301,144.79435
PIC06,13.50341,144.79419
PIC07,13.50365,144.7943
PIC08,13.50419,144.79415
PIC09,13.50457,144.79414
PIC10,13.5052,144.79413
PIC11,13.50531,144.79397
PIC12,13.50491,144.79324
PIC13,13.5042,144.79394
PIC14,13.50438,144.79336
PIC15,13.50449,144.79313
PIC16,13.50428,144.793
PIC17,13.50454,144.79279
PIC18,13.50476,144.79283
PIC19,13.50423,144.79218
PIC20,13.50411,144.79203
PIC21,13.50388,144.79211
PIC22,13.50394,144.79293
PIC23,13.50399,144.79268
PIC24,13.50385,144.79254
PIC25,13.50345,144.79215
PIC26,13.50365,144.79186
PIC27,13.50327,144.79183
PIC28,13.50268,144.79178
PIC29,13.50403,144.79158
PIC30,13.50433,144.79152
PIC31,13.50442,144.79182
SPC0001,13.52714,144.80374
SPC0002,13.52805,144.80362
SPC0003,13.52942,144.8037
SPC0004,13.53016,144.80334
SPC0005,13.53057,144.80336
SPC0013,13.50311,144.79638
SPC0017,13.50511,144.79623
SPC0018,13.50514,144.79516
SPC0022,13.50623,144.8
SPC0024,13.50744,144.80186
SPC0026,13.50865,144.80428
SPC0027,13.51056,144.80529
SPC0028,13.51106,144.80609
SPC0029,13.52548,144.8097
SPCORD1,13.44046,144.74878
SPCORD2,13.44093,144.75191
SPCP001,13.50523,144.78373
SPCP002,13.5064,144.78407
SPCP003,13.50509,144.78684
SPCP005,13.5046,144.78674
SPCP006,13.5045,144.78767
SPCP007,13.50386,144.78938
SPCP008,13.50181,144.78851
SPCP009,13.50143,144.79333
SPCP010,13.5015,144.79063
SPCP011,13.50434,144.79183
SPCP012,13.50237,144.7935
SPCP014,13.50481,144.79512
SPCP015,13.50526,144.79419
SPCP016,13.50506,144.79605
SPCP019,13.50548,144.79734
SPCP020,13.50575,144.79721
SPCP021,13.50519,144.79663
SPCP023,13.5052,144.80177
SPCP025,13.50961,144.80141
SPCP030,13.49856,144.79489
T0001,13.64102,144.85321
T0001P,13.42656,144.78012
T0002,13.63995,144.85268
T0002P,13.42632,144.78664
T0003,13.64105,144.85278
T0004,13.63822,144.85353
T0005,13.63909,144.85332
T0006,13.63957,144.85292
T0006a,13.36182,144.73534
T0007,13.6404,144.85307
T0008,13.63827,144.85367
T0009,13.63965,144.85274
T0010,13.64055,144.85368
T0011,13.63868,144.85315
T0012,13.63855,144.85271
T0012B,13.46444,144.84021
T0013,13.63998,144.85315
T0014,13.63913,144.85373
T0015,13.64055,144.85368
T0015Y,13.3967,144.7675
T0016,13.63831,144.85332
T0017,13.63855,144.85356
T0018,13.64033,144.85406
T0019,13.64007,144.85291
T0020,13.63935,144.85352
T0020Y,13.4967,144.76747
T0021,13.55902,144.8176
T0021M,13.46953,144.84803
T0022,13.5383,144.91409
T0023,13.55741,144.81544
T0024,13.53585,144.90685
T0025,13.53537,144.91628
T0026,13.55643,144.81436
T0027,13.54686,144.91666
T0028,13.53759,144.91808
T0029,13.5375,144.91901
T0030,13.53759,144.90851
T0031,13.53617,144.91577
T0032,13.54276,144.9129
T0033,13.54708,144.9178
T0034,13.55786,144.81648
T0035,13.55317,144.81215
T0036,13.55044,144.8112
T0037,13.5551,144.8125
T0038,13.54799,144.92128
T0039,13.54937,144.811
T0040,13.54798,144.91537
T0041,13.54279,144.91104
T0042,13.54978,144.8111
T0043,13.54339,144.91249
T0044,13.55518,144.81296
T0045,13.54184,144.91261
T0046,13.50995,144.81693
T0047,13.50727,144.81226
T0048,13.50508,144.80939
T0049,13.50604,144.81131
T0050,13.50586,144.81175
T0051,13.53987,144.90944
T0052,13.54014,144.90906
T0053,13.50755,144.8156
T0054,13.53999,144.90935
T0055,13.5396,144.90913
T0055Y,13.40229,144.77602
T0056,13.50744,144.81633
T0057,13.62468,144.8372
T0058,13.50751,144.81157
T0059,13.6225,144.83676
T0060,13.50679,144.81512
T0061,13.51,144.81694
T0062,13.61562,144.83609
T0063,13.50827,144.80946
T0063t,13.36298,144.74203
T0064,13.63043,144.84181
T0065,13.61445,144.83614
T0066,13.50732,144.80914
T0067,13.61569,144.83617
T0067D,13.50409,144.83615
T0068,13.44878,144.80592
T0068a,13.46029,144.71643
T0068D,13.50636,144.8347
T0069,13.62461,144.83716
T0069D,13.50608,144.8347
T0069GC,13.52941,144.85019
T0070,13.45067,144.80376
T0071,13.50529,144.79611
T0072,13.45201,144.8035
T0073,13.61946,144.83693
T0074,13.63368,144.8445
T0075,13.63597,144.84612
T0076,13.4503,144.80333
T0077,13.53712,144.82928
T0078,13.63256,144.84349
T0079,13.62913,144.84064
T0080,13.62776,144.83963
T0081,13.44816,144.8033
T0082,13.5556,144.8358
T0084,13.6264,144.83824
T0085,13.44983,144.80254
T0086,13.44999,144.80197
T0087,13.44931,144.80264
T0088,13.44898,144.80255
T0089,13.44864,144.80243
T0090,13.44745,144.80249
T0091,13.4474,144.80298
T0091t,13.35965,144.74825
T0092,13.44918,144.80368
T0093,13.44893,144.80295
T0094,13.44971,144.8044
T0095,13.44963,144.80455
T0096,13.49868,144.7812
T0097,13.44909,144.80618
T0098,13.4469,144.80583
T0099,13.45098,144.8047
T0100,13.50293194,144.79005018
T0101,13.50402092,144.79024824
T0102,13.50406023,144.79089113
T0103,13.50362345,144.79113195
T0104,13.50294175,144.78981389
T0105,13.50424237,144.79161877
T0106,13.5044546,144.7919755
T0107,13.50480228,144.79284747
T0108,13.50504267,144.79338726
T0108Y,13.40602,144.77455
T0109,13.50528089,144.79384207
T0110,13.45119,144.80507
T0111,13.43744,144.76503
T0112,13.43693,144.76546
T0113,13.43697,144.76547
T0114,13.43686,144.76639
T0115,13.43702,144.76802
T0116,13.43729,144.76788
T0117,13.43832,144.76878
T0118,13.43914,144.7682
T0119,13.4394,144.76964
T0120,13.44091,144.77046
T0121,13.43674,144.76891
T0122,13.43601,144.76997
T0122Y,13.40419,144.76619
T0123,13.4348,144.77078
T0124,13.43981,144.76537
T0125,13.44089,144.7655
T0126,13.44011,144.76559
T0127,13.54128,144.8237
T0128,13.43745,144.76555
T0129,13.49951,144.77222
T0130,13.50006,144.77037
T0131,13.49956,144.77011
T0132,13.61228,144.83568
T0133,13.5383,144.81416
T0143,13.51517,144.85385
T0144,13.5556,144.8358
T0145,13.4987,144.84256
T0146,13.49576,144.84392
T0147,13.49817,144.83746
T0152,13.51562,144.85432
T0213,13.51531,144.8549
T1200,13.35927,144.73323
T1201,13.359,144.73762
T1202,13.36834,144.76605
T1203,13.37696,144.76284
T1204,13.38319,144.76746
T1205,13.37229,144.76519
Uber Trap,13.5088,144.80109
x0000U,13.28774,144.66035
X0001,13.50523,144.78373
X0001FF,13.52714,144.80374
x0001M,13.47416,144.76056
x0001N,13.45609,144.7067
x0001T,13.36208,144.75197
X0002,13.5064,144.78407
X0002FF,13.52805,144.80362
X0002M,13.475,144.75824
x0002N,13.45522,144.70819
x0002T,13.36171,144.74309
X0003,13.50509,144.78684
X0003FF,13.52942,144.8037
x0003M,13.47517,144.75618
x0003T,13.36188,144.7327
X0004,13.50436,144.78695
X0004FF,13.53016,144.80334
x0004T,13.35757,144.75357
X0005,13.5046,144.78674
x0005T,13.36493,144.74333
X0006,13.5045,144.78767
X0007,13.50386,144.78938
X0008,13.50181,144.78851
X0009,13.50143,144.79333
X0010,13.5015,144.79063
X0011,13.50434,144.79183
X0012,13.50237,144.7935
X0013,13.50311,144.79638
X0014,13.50481,144.79512
X0015,13.50526,144.79419
X0016,13.50506,144.79605
X0017,13.50511,144.79623
X0018,13.50514,144.79516
X0019,13.50548,144.79734
x001Y,13.38648,144.76502
X0020,13.50575,144.79721
X0021,13.50519,144.79663
X0023,13.5052,144.80177
X0024,13.50744,144.80186
X0025,13.50961,144.80141
X0026,13.50865,144.80428
X0027,13.51056,144.80529
X0028,13.51106,144.80609
X0029,13.52548,144.8097
x002Y,13.38648,144.76026
X0030,13.49856,144.79489
X0031,13.49862,144.79689
X0032,13.49922,144.79735
X0033,13.49736,144.79591
X0034,13.49983,144.79785
X0035,13.50105,144.79881
X0036,13.49804,144.79643
X0037,13.49789,144.79709
X0038,13.50369,144.80675
X0039,13.50278,144.80315
X0040,13.50193,144.79915
X0041,13.50297,144.80368
X0042,13.50269,144.80209
X0043,13.50286,144.80261
X0044,13.49856,144.79791
X0045,13.50015,144.79865
X0046,13.49952,144.79858
X0047,13.49736,144.79659
X0048,13.50801,144.80925
X0049,13.51711,144.81215
X0050,13.51593,144.81111
X0051,13.50578,144.80779
X0052,13.51803,144.81248
X0053,13.50258,144.80066
X0054,13.50385,144.80437
X0055,13.50476,144.8065
X0056,13.50385,144.80339
X0057,13.50391,144.8051
X0058,13.50147,144.79887
X0059,13.50527,144.80771
X0060,13.50332,144.80148
X0061,13.51264,144.81111
X0061A,13.5098,144.80949
X0062,13.521487,144.815905
X0063,13.5103,144.81137
X0064,13.49185,144.79155
X0065,13.52121,144.81447
X0066,13.52009,144.81285
X0067,13.49383,144.79277
X0068,13.519,144.81221
X0069,13.50399,144.80957
X0070,13.52121,144.81511
X0071,13.50918,144.80937
X0072,13.5147,144.81157
X0073,13.5197,144.8123
X0074,13.51161,144.81
X0075,13.51629,144.8109
X0076,13.52057,144.81311
X0077,13.51443,144.81107
X0078,13.50639,144.80788
X0079,13.4952,144.79321
X0080,13.4957,144.79474
X0081,13.50146,144.77116
X0082,13.50295,144.77245
X0083,13.5057,144.77629
X0084,13.50376,144.774
X0085,13.49809,144.77115
X0086,13.49139,144.79097
X0087,13.50233,144.77176
X0088,13.50343,144.77338
X0089,13.50888,144.80135
X0090,13.49527,144.77628
X0091,13.49522,144.77135
X0092,13.491,144.78996
X0093,13.4861,144.78003
X0094,13.49516,144.77211
X0095,13.50678,144.79936
X0096,13.495,144.77361
X0097,13.50411,144.77608
X0098,13.48601,144.77788
X0099,13.48861,144.77637
x0100,13.50161,144.78876
X0101,13.49462,144.77415
X0102,13.50865,144.80133
x0102B,13.37554,144.75322
X0103,13.50853,144.80096
X0104,13.50241,144.79147
X0105,13.49505,144.77295
X0106,13.50914,144.80152
X0107,13.49415,144.7747
X0107A,13.49034,144.78799
X0108,13.50592,144.79791
X0109,13.44786,144.62415
X0110,13.48759,144.78258
X0111,13.50053,144.77075
X0112,13.51286,144.80794
X0113,13.4866,144.776
X0114,13.49654,144.79488
X0115,13.4923,144.77663
X0116,13.48755,144.78366
x0117,13.47203,144.76157
X0118,13.48553,144.77724
X0119,13.49326,144.77576
X0120,13.50381,144.79112
X0121,13.51279,144.80965
X0123,13.49452,144.77586
X0124,13.50367,144.79066
X0125,13.44046,144.74878
X0126,13.44071,144.74957
X0127,13.50995,144.80489
X0128,13.50997,144.80447
X0129,13.50946,144.8031
X0130,13.51066,144.80366
X0131,13.51151,144.80294
X0132,13.50892,144.80248
X0133,13.51195,144.80286
X0134,13.51082,144.80246
X0135,13.50977,144.80455
X0136,13.50922,144.8018
X0137,13.50411,144.7905
X0137A,13.50174,144.78746
X0138,13.50395,144.78983
