key,dateCreated,latitude,longitude,altitude,deviceId,entryId,lastEdited,timeUploaded,projectName,photo,barrelID,males,females,note,
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIC01PqFCAw,2015-05-27 22:46:41.988000,13.5328777,144.8727755,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1432766801988,2015-05-27 22:46:41.988000,2015-05-27 23:48:43.018640,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIC01PqFCAw","7","0","0","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIC4lo-GCAw,2015-02-04 23:36:57.712000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1423093017712,2015-02-04 23:36:57.712000,2015-02-05 00:05:20.825980,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIC4lo-GCAw","8","0","0","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIC49ceICAw,2015-02-04 23:42:39.601000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1423093359601,2015-02-04 23:42:39.601000,2015-02-05 00:05:25.670680,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIC49ceICAw","29","0","2","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDoveuKCAw,2014-11-13 01:17:36.148000,13.53080129,144.87305998,197.0,85a5dcf866e2b1f3,85a5dcf866e2b1f3_1415841456148,2014-11-13 01:17:36.148000,2014-11-14 23:59:23.066230,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDoveuKCAw","16","1","2","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgID0lvqMCAw,2015-05-27 23:01:01.428000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1432767661428,2015-05-27 23:01:01.428000,2015-05-27 23:48:50.403610,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgID0lvqMCAw","29","2","4","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDozPuMCAw,2014-11-13 00:36:20.614000,0.0,0.0,0.0,85a5dcf866e2b1f3,85a5dcf866e2b1f3_1415838980614,2014-11-13 00:36:20.614000,2014-11-14 23:59:13.714500,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDozPuMCAw","5","3","1","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDU5KGRCAw,2015-05-08 01:40:28.891000,0.0,0.0,204.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1431049228891,2015-05-08 01:40:28.891000,2015-05-08 01:44:26.179010,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDU5KGRCAw","9","1","2","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICE7pudCAw,2015-03-11 22:45:30.385000,0.0,0.0,0.0,69d0d8da5d9bb93f,69d0d8da5d9bb93f_1426113930385,2015-03-11 22:45:30.385000,2015-03-11 23:25:01.539400,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgICE7pudCAw","2","0","3","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDoqOSeCAw,2014-11-13 01:22:15.767000,0.0,0.0,206.0,85a5dcf866e2b1f3,85a5dcf866e2b1f3_1415841735767,2014-11-13 01:22:15.767000,2014-11-14 23:59:24.387800,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDoqOSeCAw","11","3","3","N/A",
ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDo_-qeCAw,2014-11-25 23:58:03.689000,0.0,0.0,0.0,85a5dcf866e2b1f3,85a5dcf866e2b1f3_1416959883689,2014-11-25 23:58:03.689000,2014-11-26 00:24:30.345250,crb_yigo_barrel_traps,"http://epicollectserver.appspot.com/showImageWithKey?imageKey=ahZzfmVwaWNvbGxlY3RzZXJ2ZXItaHJkchILEgVFbnRyeRiAgIDo_-qeCAw","18","0","0","N/A",
