trap_id,start_date,end_date,ntrapped
1,2014-05-12,2014-05-19,3
2,2014-05-12,2014-05-19,0
3,2014-05-12,2014-05-19,2
4,2014-05-12,2014-05-19,1
5,2014-05-12,2014-05-19,0
6,2014-05-12,2014-05-19,0
7,2014-05-12,2014-05-19,2
8,2014-05-12,2014-05-19,0
9,2014-05-12,2014-05-19,2
10,2014-05-12,2014-05-19,4
11,2014-05-12,2014-05-19,0
12,2014-05-12,2014-05-19,0
13,2014-05-12,2014-05-19,0
14,2014-05-12,2014-05-19,0
15,2014-05-12,2014-05-19,1
16,2014-05-12,2014-05-19,0
17,2014-05-12,2014-05-19,2
18,2014-05-12,2014-05-19,0
19,2014-05-12,2014-05-19,2
20,2014-05-12,2014-05-19,0
21,2014-05-12,2014-05-19,1
22,2014-05-12,2014-05-19,0
23,2014-05-12,2014-05-19,5
24,2014-05-12,2014-05-19,0
25,2014-05-12,2014-05-19,4
26,2014-05-12,2014-05-19,0
27,2014-05-12,2014-05-19,2
28,2014-05-12,2014-05-19,0
29,2014-05-12,2014-05-19,12
30,2014-05-12,2014-05-19,0
31,2014-05-12,2014-05-19,3
1,2014-05-19,2014-05-27,0
2,2014-05-19,2014-05-27,3
3,2014-05-19,2014-05-27,0
4,2014-05-19,2014-05-27,2
5,2014-05-19,2014-05-27,0
6,2014-05-19,2014-05-27,0
7,2014-05-19,2014-05-27,0
8,2014-05-19,2014-05-27,3
9,2014-05-19,2014-05-27,0
10,2014-05-19,2014-05-27,0
11,2014-05-19,2014-05-27,0
12,2014-05-19,2014-05-27,0
13,2014-05-19,2014-05-27,0
14,2014-05-19,2014-05-27,3
15,2014-05-19,2014-05-27,0
16,2014-05-19,2014-05-27,2
17,2014-05-19,2014-05-27,0
18,2014-05-19,2014-05-27,7
19,2014-05-19,2014-05-27,0
20,2014-05-19,2014-05-27,3
21,2014-05-19,2014-05-27,0
22,2014-05-19,2014-05-27,4
23,2014-05-19,2014-05-27,0
24,2014-05-19,2014-05-27,5
25,2014-05-19,2014-05-27,0
26,2014-05-19,2014-05-27,3
27,2014-05-19,2014-05-27,0
28,2014-05-19,2014-05-27,9
29,2014-05-19,2014-05-27,0
30,2014-05-19,2014-05-27,4
31,2014-05-19,2014-05-27,0
1,2014-05-27,2014-06-02,0
2,2014-05-19,2014-06-02,0
3,2014-05-19,2014-06-02,6
4,2014-05-19,2014-06-02,0
5,2014-05-19,2014-06-02,2
6,2014-05-19,2014-06-02,0
7,2014-05-19,2014-06-02,2
8,2014-05-19,2014-06-02,0
9,2014-05-19,2014-06-02,3
10,2014-05-19,2014-06-02,0
11,2014-05-19,2014-06-02,0
12,2014-05-19,2014-06-02,0
13,2014-05-19,2014-06-02,0
14,2014-05-19,2014-06-02,0
15,2014-05-19,2014-06-02,4
16,2014-05-19,2014-06-02,0
17,2014-05-19,2014-06-02,1
18,2014-05-19,2014-06-02,0
19,2014-05-19,2014-06-02,2
20,2014-05-19,2014-06-02,0
21,2014-05-19,2014-06-02,1
22,2014-05-19,2014-06-02,0
23,2014-05-19,2014-06-02,5
24,2014-05-19,2014-06-02,0
25,2014-05-19,2014-06-02,3
26,2014-05-19,2014-06-02,0
27,2014-05-19,2014-06-02,1
28,2014-05-19,2014-06-02,0
29,2014-05-19,2014-06-02,9
30,2014-05-19,2014-06-02,0
31,2014-05-19,2014-06-02,4
14,2014-06-02,2014-06-03,0
19,2014-06-02,2014-06-03,0
18,2014-06-02,2014-06-03,0
23,2014-06-02,2014-06-03,0
27,2014-06-02,2014-06-03,0
28,2014-06-02,2014-06-03,1
24,2014-06-02,2014-06-03,0
20,2014-06-02,2014-06-03,0
25,2014-06-02,2014-06-03,0
29,2014-06-02,2014-06-03,0
30,2014-06-02,2014-06-03,1
31,2014-06-02,2014-06-03,0
26,2014-06-02,2014-06-03,0
22,2014-06-02,2014-06-03,0
17,2014-06-02,2014-06-03,1
21,2014-06-02,2014-06-03,0
16,2014-06-02,2014-06-03,0
15,2014-06-02,2014-06-03,0
10,2014-06-02,2014-06-03,0
9,2014-06-02,2014-06-03,1
4,2014-06-02,2014-06-03,0
1,2014-06-02,2014-06-03,0
2,2014-06-02,2014-06-03,0
5,2014-06-02,2014-06-03,1
6,2014-06-02,2014-06-03,0
7,2014-06-02,2014-06-03,0
3,2014-06-02,2014-06-03,1
8,2014-06-02,2014-06-03,0
13,2014-06-02,2014-06-03,0
12,2014-06-02,2014-06-03,0
11,2014-06-02,2014-06-03,0
14,2014-06-03,2014-06-04,0
19,2014-06-03,2014-06-04,0
18,2014-06-03,2014-06-04,0
23,2014-06-03,2014-06-04,0
27,2014-06-03,2014-06-04,0
28,2014-06-03,2014-06-04,1
24,2014-06-03,2014-06-04,0
20,2014-06-03,2014-06-04,0
25,2014-06-03,2014-06-04,0
29,2014-06-03,2014-06-04,0
30,2014-06-03,2014-06-04,0
31,2014-06-03,2014-06-04,0
26,2014-06-03,2014-06-04,0
22,2014-06-03,2014-06-04,0
17,2014-06-03,2014-06-04,0
21,2014-06-03,2014-06-04,0
16,2014-06-03,2014-06-04,0
15,2014-06-03,2014-06-04,0
10,2014-06-03,2014-06-04,1
9,2014-06-03,2014-06-04,0
4,2014-06-03,2014-06-04,0
1,2014-06-03,2014-06-04,0
2,2014-06-03,2014-06-04,0
